average_salary,Industry
1.60773754998224e+19,Publishing
1.56000600000026e+19,Freight Logistics
1.01062505000583e+16,Event Planning
1.80000130400002e+15,Tech and Consumer Devices
1.00000200004e+15,Sales - Fragrance & Cosmetics
701113145209944.0,Communications
159918093768712.0,Tech
65384708640649.2,Biotech/Pharma
58000200038000.0,Events/Hospitality
48000540007000.0,fleet service
21666690410527.9,Biotech
16380105030000.0,mall retail
14363915784930.3,Healthcare
11223847204960.2,Administration
4333356739433.0,Wealth Management
2916677899962.27,Investment Management
2152494426168.4,Software
1741823666324.13,Financial Services
785718883000.0,Senior Living
250000750000.0,High Tech Software
225000533000.0,Textbook Publishing
196001084200.0,Research / Consulting
116000726550.36,Healthcare non-profit
90000110000.0,Light rail ( train)
90000100000.0,Lab equipment
89206799572.6667,Oil & Gas
87500170000.0,DTC E-commerce apparel brand
85000100000.0,"Film, Visual Effects Production"
75000125000.0,Film & TV Production
73175090393.4031,Law
63333488666.6667,Home furnishings
62583846482.3125,Social Work
50000100000.0,Art and Publishing
50000097922.0,Social Media
29554037721.1364,Veterinary medicine
27733412883.3333,Business Intelligence/ICT
20794249098.6165,Marketing
13951423021.3506,Pharmaceutical
12900041000.0,Steel building manufacturing
11842363600.5856,Nonprofit
11502040000.0,Child Care/Early Childhood Education
11000068000.0,Biotech/small pharma
10891531022.6225,Third Sector
8263955537.23247,Finance
5233455833.33333,Cloud Computing
5000020000.0,Legal Research
4200056000.0,Tech sales for nonprofits
4000065000.0,Water and Wastewater Supplies
4000020000.0,Telecommuications
3900045000.0,Cargo tank manufacturing
3667856666.66667,Retirement Administration
3120037440.0,Forestry regulator
3066709000.0,Media Sales
2915217334.23151,Not for profit
2700056403.75,Building Automation
2182493722.94545,Software Sales
2100037500.0,Theater/Performing Arts
2012006844.93878,Commercial Real Estate
1754580036.35088,Civil Engineering
1700055160.0,Retail Management
1568750249.61854,Architecture
1516925228.86364,Energy
1232637217.16933,Construction
1117725848.57143,Automotive Sales
1046040138.36364,Specialty Chemicals
1000095764.28571,Film and Television
918001013.0,Credit Bureau
890074297.148,Food
875004200.0,Pharma advertising
785833485.342857,Biotechnology
728065000.0,Gaming- Casino Table Games
697820137.864551,Academia
691096396.406667,Allied Health
602214073.609375,Oil and Gas
551945395.593104,Healthcare Finance
475879977.007672,IT
370001785.0,Phone customer service/phone tech support
320000016.0,Food service/retail
284491458.973721,Education
260940734.782609,Staffing
234353081.085714,Book Publishing
228048000.0,Childcare (corporate office though)
181549500.0,Computer Consultant
176781777.269608,Pharma
173296862.142857,Legal Services
168034000.0,Animal Care/Research
166726477.208333,Academic Publishing
147115294.117647,Veterinary
141971299.202703,Market Research
134609768.222577,Local Government
82534500.0,Extension (university) - agriculture
80021500.0,Brewing
74737357.7910448,Electrical
