average_salary,Location
122500.0,Folsom/California/Sacramento
122000.0,"Minnesota, MN USA"
122000.0,"Hanover, New Hampshire, USA"
122000.0,"Eugene, OR"
121842.857142857,Pleasanton/CA/USA
121000.0,"Charleson, SC, USA"
120750.0,"Norwalk, CT USA"
120000.0,"York, Pa, United States"
120000.0,San Juan/PR/USA
120000.0,Roswell New Mexico
120000.0,"Richfield, Utah. United States"
120000.0,Philippines
120000.0,OCONUS/Kabul/Afganistan
120000.0,"Merced, CA"
120000.0,"Medford, MA USA"
120000.0,Livonia/Michigan/USA
120000.0,Linthicum Md usa
120000.0,"Ketchum, ID"
120000.0,"Itasca, Il, usa"
120000.0,"Issaquah, WA"
120000.0,Hillsboro
120000.0,"Folsom, CA"
120000.0,"Ewing, NJ"
120000.0,Dalevile /AL /USA
120000.0,"Burley, Idaho"
120000.0,"Bolton, MA, USA"
120000.0,Bluefield/VA/USA
120000.0,"Beverly, MA"
120000.0,Aztec/New Mexico/USA
120000.0,Ann Arbor
119900.0,Geneva
119900.0,Bahrain
119750.0,Barrington/IL/USA
119746.75,"Mansfield, Ohio"
119666.666666667,Fraser MI USA
119132.8,"New Brunswick, NJ, USA"
119000.0,"Lebanon, NH, USA"
119000.0,"Dover, NJ"
118500.0,"North Chicago, Illinois, USA"
118500.0,"Hershey, PA, USA"
118333.333333333,Bermuda
118300.0,"Shanghai, China"
118285.714285714,"Westchester, NY"
118000.0,Suffern/NY/USA
118000.0,Scarsdale New York
118000.0,"Redlands, CA"
118000.0,New City/NY/USA
118000.0,"Los Altos Hills, CA."
118000.0,"Hornell, NY"
118000.0,Dublin
117800.0,"Hoboken, NJ"
117500.0,"Grass Valley, CA, USA"
117342.222222222,Finland
117179.0,Cairns QLD Australia
117000.0,"Upper Midwest (can't say more, sorry)"
116750.0,Long Beach/ California/ USA
116649.375,"Seattle, WA, United States"
116408.857142857,Palo Alto
116275.0,Grand Junction CO
116250.0,"Peoria, IL"
116134.271698113,Toronto
116000.0,"Truckee CA, USA"
116000.0,Kankakee/IL/USA
116000.0,Decatur AL USA
116000.0,Brewster NY USA
115800.0,"Dearborn, Michigan"
115615.789473684,"Redwood City, CA"
115333.333333333,"Chantilly, VA, USA"
115000.0,"owings mills, md"
115000.0,Reno/Nevada/United States
115000.0,"Remote, NC"
115000.0,Redlands/California/USA
115000.0,"Puyallup, WA"
115000.0,Pierce County Washington
115000.0,"Moore, Ok"
115000.0,"Lynnwood, WA"
115000.0,Large metro area/East Coast/US
115000.0,Easton ct USA
115000.0,"Acton, Ma USA"
114674.418604651,Houston
114666.666666667,Deerfield IL USA
114600.0,"Sterling, VA"
114450.0,"Lausanne, Switzerland"
114299.5,Titusville / FL / usa
114175.09375,"Santa Ana, CA"
114000.0,Limerick/PA/19464
114000.0,Chester Va
114000.0,Autin/Texas/USA
113877.5,Japan
113666.666666667,"Fayetteville, NC"
113659.090909091,"Irvine, CA"
113516.0,"Düsseldorf, Germany"
113500.0,"American Fork, UT, USA"
113280.0,"NRW, Germany"
113000.0,"Reno, Nevada"
113000.0,Orange ca
113000.0,"Modesto, California"
113000.0,"McLean, Virginia, USA"
113000.0,"Collinsville, Illinois, USA"
112875.0,"Lake Mary, FL USA"
112773.7,FL
112728.571428571,Midwest
112500.0,"Anacortes, WA"
112314.285714286,"Richland, WA"
112125.0,Las Vegas
112000.0,Mid-Atlantic
112000.0,Mexico
112000.0,"Helena, Montana, USA"
111928.571428571,"CT, USA"
111891.0,"Delaware, USA"
111800.0,"McLean, VA, USA"
111800.0,"Broomfield, CO"
111750.0,Morris Plains/NJ/USA
111375.0,Charlotte
111333.333333333,"Maryland, United States"
111333.333333333,"Lake Charles, LA USA"
110500.0,New Paltz / New York / USA
110444.444444444,"Pasadena, CA, USA"
110285.0,"Laurel, MD USA"
110000.0,Statesboro/Georgia/USA
110000.0,South Lyon MI USA
110000.0,Smyrna/TN/USA
110000.0,San Jose / ca / Santa Clara
110000.0,"Salem, NH USA"
110000.0,"Ridgefield Park, NJ, USA"
110000.0,"Puyallup, WA USA"
110000.0,"Placerville, CA"
110000.0,Orrville/Ohio/United States
110000.0,"Neenah, Wisconsin, USA"
110000.0,"Maryville, IL. USA"
110000.0,Lorton va
110000.0,"Guadalajara, Jalisco, Mexico"
110000.0,Greenwhich/Connecticut/USA
110000.0,"Gold Country, California"
110000.0,"De Pere, WI"
110000.0,Chesterton IN
110000.0,California/Orange County
109913.043478261,Arizona
109616.666666667,Greater NYC Area
109432.18,"LA, CA"
109000.0,Oldsmar/Florida/USA
109000.0,"Cochranville, PA, USA"
108972.0,"McLean, VA"
108800.0,Northbrook IL USA
108800.0,Chicago Area
108000.0,"Whittier, California"
108000.0,"San Carlos, California, USA"
108000.0,Large city in Texas
107804.347826087,New Hampshire
107625.0,Peoria Illinois USA
107500.0,Chandler/Arizona/USA
107333.333333333,Milford Connecticut usa
107280.0,"Dahlgren, VA"
107233.333333333,"Tacoma, WA, USA"
107132.0,Ferndale/MI/USA
107000.0,Warner Robbins/GA/usa
107000.0,"Seatte, WA, United States"
107000.0,Near Los Angeles CA
107000.0,"Mundelein, IL USA"
107000.0,"Dover, NH, USA"
106947.5,Israel
106857.833333333,"Concord, CA"
106833.333333333,DC area
106666.666666667,"LAkeland, FL USA"
106646.153846154,Kansas City
106500.0,"St. Clair Shores, MI, USA"
106500.0,Coeur d Alene Idaho
106240.0,"Penna., USA"
106200.0,"Baden-Württemberg, Germany"
106000.0,Omaha
106000.0,Lynbrook/NY/USA
105634.526315789,"CA, USA"
105596.25,"Troy, MI, USA"
105500.0,"Newark, CA, USA"
105354.545454545,"Miami, FL"
105250.0,Bethesda
105233.333333333,Remote
105000.0,soldotna/Alaska/US
105000.0,"South Sioux City, NE"
105000.0,Paducah/Kentucky/usa
105000.0,North NJ
105000.0,NY State
105000.0,"Miami, FL United States"
105000.0,"Medina, Minnesota"
105000.0,"Houaton, TX"
105000.0,Fort Bragg NC
105000.0,"Florham Park, NJ, USA"
105000.0,"Dayton, Ohio, United States"
105000.0,Bethesda/Washington DC/USA
105000.0,Bellevue Nebraska USA
104996.0,"St. Paul, MN"
104800.0,"Plymouth, MA, USA"
104748.0,"Goleta, California, USA"
104666.666666667,Sonoma County
104600.0,"Raleigh-Durham, NC"
104600.0,"Norwood, Ma, US"
104462.428571429,"Bethesda, MD, USA"
104420.0,"Hilo, HI"
104416.333333333,"East Lansing, MI"
104333.333333333,"Brooklyn, NY, United States"
104333.333333333,"Bothell, WA, USA"
104104.00195,"Tokyo, Japan"
104040.0,"Milpitas, CA"
104000.0,Roselle/Illinois/usa
104000.0,Marathon/Texas/USA
104000.0,"Mammoth Lakes, CA, US"
104000.0,Leamington/ Ontario/ Canada
104000.0,Deteoit
103910.0,"Brisbane, Australia"
103723.5,"Fort Belvoir, VA"
103680.0,"San Diego County, CA"
103333.333333333,Galveston Texas USA
103162.5,"Columbia, MD, USA"
103000.0,"Wixom, MI, USA"
103000.0,Garden Grove CA USA
103000.0,"Folsom, CA, USA"
102837.5,"Bakersfield, CA, USA"
102791.958333333,"Albany, NY"
102750.0,UK Southeast
102666.666666667,"Natick, MA USA"
102500.0,"Grapevine, Texas, USA"
102400.0,"Hartland, WI, USA"
102333.333333333,"Seatte, WA"
102333.333333333,"Modesto, ca, US"
102325.0,SF Bay Area
102200.0,Southeastern US
102114.333333333,West Virginia
102000.0,"Land O Lakes, FL, USA"
102000.0,"Corp hq is Folsom, CA . i am remote in Ventnor NJ"
102000.0,Canton/GA/USA
101700.0,"Cary, NC"
101600.0,Victoria
101513.333333333,"Carlsbad, CA"
101500.0,South Florida
101323.5,"Jersey City, NJ"
101063.0,Wheaton/IL/USA
101000.0,St. Joseph / Michigan / USA
101000.0,Flushing MI USA
101000.0,"Blue bell, Pennsylvania,usa"
100816.363636364,Fremont/CA/USA
100776.722222222,"Harrisburg, PA, USA"
100700.0,Greenville NC USA
100687.5,Hoboken /NJ /USA
100649.714285714,"Santa Fe, NM USA"
100500.0,Chicago/Il/cook
100500.0,Cape May county New Jersey
100500.0,Bolingbrook/IL/USA
100423.176470588,Edison nj usa
100233.43902439,"California, USA"
100191.333333333,"Lubbock, TX"
100145.454545455,"Bentonville, AR"
100106.086956522,"Bay Area, California"
100000.0,"Warwick, RI, USA"
100000.0,"Valley Forge, PA"
100000.0,Truman MN USA
100000.0,Trevose PA
100000.0,ST. GEORGE/UTAH/UNITED STATES
100000.0,Rancho Cucamonga / California / United States
100000.0,Raleigh
100000.0,Outside Atlanta/GA/USA (remote work)
100000.0,Olmsted/MN/USA
100000.0,New hyde oark/NY/USA
100000.0,"New Delhi, India"
100000.0,Macomb / MI / USA
100000.0,"Livermore, CA USA"
100000.0,"Latham, NY, US"
100000.0,"Hollywood, CA"
100000.0,Chile
100000.0,"Century City, CA, USA"
100000.0,"Buffalo, NY (but my company is based in NYC)"
100000.0,"Atlants, GA USA"
100000.0,America
99666.6666666667,"Bowling Green, KY, USA"
99600.0,"Waltham, MA"
99500.0,Phoenix
99500.0,"DFW, TX"
99471.0,Southern California
99455.0,"Kenilworth , NJ"
99326.6666666667,"Nevada, USA"
99300.0,"Elmira, NY, USA"
99166.6666666667,"Basking Ridge, NJ USA"
99120.0,"Corona, california, usa"
99100.0,"Boston area, MA, USA"
99000.0,Salisbury N.C. USA
99000.0,Ridgeland MS USA
98632.8333333333,"Herndon, VA USA"
98541.8,"Warren, MI, USA"
98400.0,Cariboo/BC/Canada
98349.5,"Portsmouth, NH, USA"
98298.9462068966,"Sydney, Australia"
98218.75,CT
98206.25,Detroit
98100.0,Royal Oak/MI/USA
98060.0,DFW TX USA
98000.0,Upper Valley NH / VT
98000.0,"Torrance, CA USA"
98000.0,"Phoenix, Ax"
98000.0,North Atlanta GA USA
98000.0,Marietta ga
98000.0,"Gulf Breeze, FL US"
98000.0,"Concordville, Pa"
98000.0,"Beverly Hills, CA United States"
98000.0,"Antioch, CA, US"
97933.3333333333,"SF Bay Area, CA"
97848.4,Everett/WA/USA
97800.0,Walled lake mi 48390
97700.0,"Paterson, NJ, USA"
97690.5357142857,"Fort Collins, CO, USA"
97680.0,"Newman, West Australia, Australia"
97500.0,"Hong Kong, SAR of PRC"
97500.0,Destin fl
97424.0,"El Cajon, CA, US"
97393.3333333333,Cypress/CA/USA
97133.0,London UL
97068.0,"Savannah, Georgia USA"
97000.0,"Winnemucca, NV USA"
97000.0,Tigard/Oregon/USA
97000.0,"South Paris, ME USA"
97000.0,"Loa Angeles, CA, USA"
97000.0,"Laurens, SC"
96940.2857142857,"Santa Rosa, CA USA"
96820.0,Niceville/FL/USA
96798.6666666667,"Idaho Falls, Idaho, USA"
96760.0,"Troy, MI"
96760.0,"Co Cork, Ireland"
96750.0,Laurel Maryland USA
96732.0,"Juneau, Alaska USA"
96500.0,(Remote) Augusta/GA/USA
96445.4545454545,"Scottsdale, AZ, USA"
96200.0,Winston hills/nsw/australia
96170.0,Stuttgart / BaWü / Germany
96000.0,"VAN WERT, OHIO"
96000.0,Toronto CA
96000.0,Thunder Bay
96000.0,"Kitchener, Waterloo"
96000.0,Fort Gordon/Georgia/USA
95950.0,Manassas Virginia
95833.3333333333,"Malden, MA, USA"
95584.0,Davenport Iowa USA
95538.75,"Phoenix, AZ"
95500.0,"Burnsville, MN United States"
95000.0,"Virginia, United States"
95000.0,"Saint Joseph, Missouri"
95000.0,"Pittsburg, CA, USA"
95000.0,"Nogales,Az. USA"
95000.0,New Haven
95000.0,"New Braunfels, TX, USA"
95000.0,Maple grove/MN/USA
95000.0,Kansas/United States
95000.0,Holliston/MA/USA
95000.0,"Hidalgo County, TX"
95000.0,"Eastern Pennsylvania, USA"
95000.0,"Deer Park, IL USA"
95000.0,"Dayton, OH, United States"
95000.0,"Bensenville,"
95000.0,Auburn/WA/USA
94500.0,"Tysons, VA, USA"
94500.0,RI
94500.0,"Petaluma, CA, USA"
94500.0,"Annandale, VA, USA"
94400.0,"Wuppertal, Germany"
94400.0,NL
94400.0,Madrid/Madrid/Spain
94400.0,Maastricht/Limburg/Netherlands
94400.0,"Calgary, AB"
94325.0,"Alpharetta, GA, USA"
94120.0,"Hammond, IN"
94000.0,Scottsdale AZ
94000.0,"Jessup, Maryland USA"
94000.0,Jersey City
93963.6666666667,Paris
93962.5,"(Remote) job based in Oakland, CA USA"
93903.3333333333,Minneapolis St Paul
93833.3333333333,"Savannah, GA"
93500.0,"Poughkeepsie, NY USA"
93500.0,"Palmdale,CA / USA"
93250.0,"Pasadena, California, USA"
93203.8095238095,"Annapolis, MD, USA"
93075.3333333333,Aberdeen MD USA
93000.0,"Vicksburg, MS, USA"
93000.0,Enid OK
93000.0,"Augusta, GA"
92950.0,"Longmont, CO, USA"
92878.0,"Boston, MA United States"
92873.3333333333,"Santa Monica, CA, USA"
92814.0,"Byron, Illinois, USA"
92804.2877777778,"Newcastle, NSW, Australia"
92800.0,"Grand Cayman, Cayman Islands"
92760.0,"San Jose, CA, United States"
92750.0,"Tulsa, OK"
92662.5,"Irving, TX, USA"
92535.4545454545,Melbourne
92500.0,"lake county, il"
92500.0,"Vallejo, CA"
92500.0,"MERRITT ISLAND, FL, USA"
92475.0,Mobile/Alabama/USA
92333.3333333333,"York, PA"
92266.6666666667,"Oslo, Norway"
92200.0,"Southfield, Michigan, USA"
92126.0,"Palm Springs, CA"
92051.75,United Arab Emirates
92040.0,"Schmallenberg, Germany"
92040.0,Berlin/Berlin/Germany
92000.0,"wahington, D.C."
92000.0,coffeyville ks us
92000.0,"Williston, VT, USA"
92000.0,"Sierra Vista, AZ"
92000.0,Philadephia
92000.0,Lockport IL USA
92000.0,Lakewood/Colorado/USA
92000.0,"La Jolla, CA, USA"
92000.0,"Golden, CO"
92000.0,DC/DC/USA
92000.0,"Atlanta Metro area, GA USA"
92000.0,Aliso Viejo/California/USA
91875.0,"Jersey City, NJ, USA"
91829.5384615385,"Brooklyn, NY, USA"
91790.0,"Jersey, Channel Islands"
91750.0,"Stevens Point, Wisconsin"
91527.0,"Greenbelt, MD"
91390.0,"Kodiak, AK"
91367.0,Poway California USA
91017.25,Norman/OK/USA
91000.0,Sahuarita/ Arizona/ United States
91000.0,Richardsib/TX/US
91000.0,"Golden, Colorado, USA"
91000.0,"Expensive City, USA"
91000.0,"Dulles, Virginia"
91000.0,Chelmsford/massachusetts/usa
90950.0,"North Dakota, USA"
90925.0,Schaumburg IL USA
90900.415,Paris/IDF/France
90839.7692307692,"Rockville, MD, USA"
90720.0,Terre Haute/Indiana/USA
90666.6666666667,"Shelton, CT, USA"
90610.5,"Phoenix, AZ United States"
90375.0,Vienna / VA / USA
90302.2796610169,"Orlando, FL"
90300.0,"East Brunswick, NJ, USA"
90233.3333333333,"Dallas-Fort Worth, Texas, USA"
90000.0,"Yuma, Arizona, USA"
90000.0,Williston/North Dakota/USA
90000.0,"Waskom, TX"
90000.0,Southport/NC/USA
90000.0,Southern Utah / US
90000.0,Sandy Hook / Connecticut / USA
90000.0,Saline/MI/USA
90000.0,"Roswell, GA"
90000.0,Rochesre/MN/USA
90000.0,Raleigh/BC/USA
90000.0,"Queens, NY"
90000.0,"Pryor, OK, USA"
90000.0,Pittsburgh Area/PA/USA
90000.0,"North Attleboro, MA 02760"
90000.0,National City/CA/USA
90000.0,NA/Pennsylvania/USA
90000.0,Kentucky small town
90000.0,"Kekaha, HI"
90000.0,Iowa City/Iowa/United States
90000.0,Ionia MI USA
90000.0,"Gresham, OR USA"
90000.0,Gresham OR 97080
90000.0,"Glendora, CA"
90000.0,"Conyers, GA, USA"
90000.0,"Chicopee, Massachusetts USA"
90000.0,Chatlotte NC
90000.0,"Calexico, California, United States of America"
90000.0,"Calabasas, ca, USA"
90000.0,"Avon, Colorado, USA"
89914.2857142857,IL
89905.0,"Hoboken, New Jersey"
89818.1818181818,Fort Myers / FL / USA
89800.0,"Oshawa, Ontario, Canada"
89666.6666666667,"Waterbury, CT USA"
89666.6666666667,"Mount Laurel, NJ"
89500.0,"White Earth, MN, USA"
89500.0,"Bethesda, Maryland"
89422.9411764706,"Tucson, AZ"
89381.0,"Sebastopol, CA"
89372.8275862069,"Brooklyn, NY"
89116.35,Missouri
89010.0,"East Greenbush, NY"
89000.0,"Washignton, DC"
89000.0,"Tracy, California, US"
89000.0,"Newark, Ohio"
89000.0,Greater Philadelphia
89000.0,Chesapeake/Virginia/USA
88794.0,"Plainville, Connecticut, US"
88666.6666666667,"Midland, MI, USA"
88666.6666666667,"Alameda, CA"
88590.0,"Fairfield County, CT"
88541.6666666667,"Naperville, IL USA"
88511.1111111111,"Toledo, Ohio USA"
88500.0,"Taunton, MA USA"
88500.0,Roseville/CA/USA
88500.0,"Berlin, DE"
88466.1481481481,"Florida, USA"
88400.0,"Markham, Ontario, Canada"
88360.0,"Riverside, CA, USA"
88333.3333333333,"Petaluma, California (San Francisco Bay Area)"
88285.7142857143,"Gilbert, AZ USA"
88132.5,"Montpelier, VT, USA"
88000.0,califonia
88000.0,arvada/colorado/usa
88000.0,Westlake Village
88000.0,Warminster PA
88000.0,Somerset/NJ/USA
88000.0,"New Hope, PA"
88000.0,Hutchinson/KS/USA
88000.0,"Florence, KY"
88000.0,"Fargo, ND"
88000.0,Chatsworth / California / USA
88000.0,"CLINTON, maryland"
87933.3333333333,"St. George, UT, USA"
87833.3333333333,Joplin mo
87752.7586206897,"St. Louis, MO"
87666.6666666667,Fremont California USA
87605.5555555556,"Ithaca, NY"
87566.0333333333,"Ohio, USA"
87500.0,"Willcox, AZ"
87500.0,"Saginaw, MI. USA"
87480.0,Leesburg VA USA
87471.3384615385,Iowa
87333.3333333333,Pacific Northwest
87250.0,"Truckee, California United States"
87250.0,"Glenview, IL USA"
87025.25,"Ames, IA USA"
87000.0,"Patuxent River, MD"
87000.0,Monticello/MN/USA
87000.0,"McCallq, Alabamad"
87000.0,"Boston, MA area"
86900.0,"Reston, Virginia, USA"
86800.0,Yukon Canada
86645.7142857143,"Pasadena, CA"
86641.4285714286,"Beaverton, Oregon, USA"
86628.0,"New York, NY, United States"
86500.0,East Tennessee
86138.0,"Waltham, MA, USA"
86060.0,Denmark - Copenhagen
86011.1111111111,"Orange, CA, USA"
86000.0,Simsbury/CT/USA
86000.0,Morris/Minnesota/USA
86000.0,"Lowell, Massachusetts, USA"
86000.0,"Lone Tree, Iowa, US"
86000.0,"Cody, WY, USA"
86000.0,"Clifton, NJ"
86000.0,Bordentown/New Jersey/US
86000.0,Apex/NC/USA
85828.5744680851,Oregon
85800.0,MD
85750.0,"Kittery, Maine"
85600.0,"Thunder Bay, Canada"
85500.0,"Yarmouth, Maine, USA"
85500.0,"Tarrytown, NY USA"
85500.0,"South Plainfield, NJ USA"
85400.0,Scottsdale Arizona USA
85166.6666666667,"Bennington, NE USA"
85100.0,"Mobile, AL, USA"
85000.0,"loves park, illinois"
85000.0,key west Florida
85000.0,"Waterville, ME"
85000.0,"Warwick, Rhode Island, USA"
85000.0,Warren/New Jersey/USA
85000.0,"Urbandale, Iowa USA"
85000.0,Uganda
85000.0,"Tampa, FL, United States"
85000.0,"Somerset,nj"
85000.0,"San Mateo, CA"
85000.0,"SF Bay Area, California"
85000.0,Roanoke/VA/United States of America
85000.0,"Pocatello, ID, USA"
85000.0,Pine Brook/NJ/USA
85000.0,"New Hampton, IA 50659"
85000.0,Middlesex CT
85000.0,Middle Granville
85000.0,"Manila, Philippines"
85000.0,"Livingston, NJ, USA"
85000.0,Independence/ KY / United States
85000.0,Illinois/illinois/USA
85000.0,"Hurricane, WV"
85000.0,"Gig Harbor, WA, US"
85000.0,Freeport Maine USA
85000.0,Ethiopia
85000.0,"Danbury,CT"
85000.0,"Dakota Dunes, SD USA"
85000.0,Cape Canaveral FL USA
84937.5,"Allentown, PA, USA"
84888.8888888889,"Andover, MA, USA"
84872.0,"Cerritos, CA, USA"
84800.0,Lanham/MD/US
84500.0,"Lafayette, IN, USA"
84500.0,KC MO
84500.0,"Allen, TX USA"
84375.0,Benton Harbor Mi higan
84356.0,"Washingtkn, DC"
84250.0,"Lowell, MA, USA"
84178.9,"Bay Area, CA, USA"
84142.6666666667,"Carrollton, Texas USA"
84084.6136363636,"Colorado Springs, CO USA"
84000.0,"Westchester County, NY"
84000.0,"Vicenza, Italy"
84000.0,US Mid-Atlantic
84000.0,"Sparks, Nevada"
84000.0,"Jersey City, NJ, United States"
84000.0,"Columbia, TN USA"
84000.0,"Calgary, Canada"
84000.0,Addison/TX/US
83895.4545454545,"Boulder, Colorado, USA"
83708.9818181818,"Madison, WI"
83666.6666666667,"Wilsonville, OR"
83625.0,"Temple,Tx. USA"
83620.4,"Akron, Ohio, USA"
83571.4285714286,"Western Massachusetts, US"
83552.3809523809,Pittsburgh
83500.0,"North Salt Lake, Utah, USA"
83500.0,"Indiana, Pennsylvania USA"
83500.0,"Chantilly, VA"
83460.0,"Georgetown, TX , USA"
83400.0,"San Clemente, CA USA"
83396.2807017544,"Oklahoma City, OK, USA"
83200.0,"PITT MEADOWS, BC, CANADA"
83200.0,Lake Orion MI United States of America
83200.0,Haines City/ Florida/US
83035.4,Hawaii
83000.0,"Wires Barre, PA"
83000.0,"Roseville, ca"
83000.0,"New Jersey, NJ"
83000.0,Liberty/SC/USA
83000.0,Justin TX USA
83000.0,Intermountain West
83000.0,FONTANA CA USA
83000.0,"Eureka, CA USA"
83000.0,"East Rutherford, NJ"
83000.0,"Eagan, Minnesota, USA"
82857.1428571429,"Bellevue, Washington, USA"
82800.0,Durango CO
82782.0,"Hannibal, MO"
82675.0,Ellicott City / Maryland / USA
82600.0,"The Hague, The Netherlands"
82600.0,"Erlangen, Germany"
82500.7333333333,Norfolk VA USA
82500.0,Roanoke/Virginia/USA
82500.0,"Hanover, MD, USA"
82500.0,Florence Oregon USA
82500.0,Flat Rock/MI/USA
82487.8421052632,"Grand Rapids, MI, USA"
82400.0,Whitehorse/ Yukon/ Canada
82400.0,"Smithers, BC, Canada"
82340.875,"Frisco, TX, USA"
82250.0,"Valparaiso, IN USA"
82072.0,"Kent, WA, USA"
82042.3636363636,"Wisconsin, USA"
82030.0,"College Station, Texas"
82000.0,Mt. Clemens / Michigan / USA
82000.0,"Monroe, LA"
82000.0,La Crescent/MN/United States
82000.0,"LA County, California"
81985.7142857143,Baltimore
81760.0,"Costa Mesa, California, USA"
81745.15,"Michigan, USA"
81689.0909090909,"Fredericksburg, VA"
81688.0,Central Texas
81515.0,Glasgow
81500.0,"Woburn, MA"
81500.0,"Santa Fe, New Mexico"
81500.0,Ruston LA
81500.0,"Radford, VA, USA"
81500.0,Massapequa/NY/USA
81375.0,India
81291.6666666667,"Morristown, NJ, USA"
81125.0,Philadephia/PA/USA
81110.0327868852,"Melbourne, Victoria, Australia"
81082.3529411765,"Santa Cruz, CA, USA"
81026.8148148148,"Lancaster, PA, USA"
81000.0,Van Buren/AR/USA
81000.0,"Shorewood, IL"
81000.0,Rock Hill/SC/USA
81000.0,"Paterson, New Jersey, USA"
81000.0,"Owatonna, MN USA"
81000.0,"Novi, Michigan USA"
81000.0,"Mountain Lakes, NJ, USA"
81000.0,"Ithaca, New York, USA"
81000.0,Fresno/can/usa
80940.0,"Lewiston, ID"
80900.0,"Towson, MD, USA"
80829.1896551724,"Albuquerque, NM, USA"
80825.0,"Radnor, PA, USA"
80742.0,"Sumner, WA USA"
80690.0,"West Des Moines, IA, United States"
80627.8333333333,"Gaithersburg, MD"
80579.0,"South Haven, MI, USA"
80500.0,St. Johnsbury vermont usa
80125.75,"DC, USA"
80125.0,"Pekin,IL"
80016.1666666667,Reading/PA/USA
80000.0,"armonk, NY"
80000.0,"York, Maine, USA"
80000.0,Yonkers NY
80000.0,Wise/Va/USA
80000.0,"Wilton, CT"
80000.0,Vietnam
80000.0,Victoria/TX/USA
80000.0,Tyler TX USA
80000.0,"Sausalito, CA USA"
80000.0,Russellville
80000.0,"Rockland County, NY"
80000.0,"Rockford, IA, USA"
80000.0,Oman
80000.0,"Mukilteo, WA"
80000.0,Lombard Illinois USA
80000.0,"Lapoutroie, France (work remotely in US)"
80000.0,Kuala Lumpur
80000.0,"Kohler, WI"
80000.0,"Ketchikan, AK, USA"
80000.0,"Hawthorne, New Jersey, USA"
80000.0,"Great Neck, New York"
80000.0,Eureka California USA
80000.0,Decatur GA
80000.0,"Daytona Beach, FL, USA"
80000.0,"Cypress, California, USA"
80000.0,"Columbia, Maryland, United States"
80000.0,"Clayton, MO US"
80000.0,Chester county Pennsylvania
80000.0,"Chareston, SC 29412"
80000.0,"Canton, Illinois, USA"
80000.0,Canada-small city
80000.0,Berlin/NJ/USA
80000.0,"Baltimore/Washington,DC"
80000.0,"BK, NY, USA"
80000.0,"Austin, MN USA"
80000.0,Aspen/Colorado/United States
80000.0,Anhorage/Alaska/USA
79985.0666666667,Omaha/Nebraska/USA
79950.0,Rosemont/Illinois/USA
79911.1111111111,Rockford / IL / USA
79880.6129032258,Colorado
79666.6666666667,South Dakota
79660.0,"Chico, CA USA"
79650.0,Cologne germany
79500.0,"Pell City, Al USA"
79500.0,"Mobile, AL"
79500.0,"Hebron, KY, USA"
79439.4285714286,"Lehi, Utah, USA"
79404.0,"Juneau, AK USA"
79270.0,"Tempe, AZ, USA"
79200.0,"Canada, mid-sized city"
79060.0,Ulm / BW / Germany
79013.3333333333,Parramatta New South Wales Australia
79000.0,west allis/wi/usa
79000.0,Longview/WA/United States
79000.0,Dedham Massachusetts USA
79000.0,Altadena/California/USA
78994.1842105263,"Huntsville, Alabama, USA"
78850.8333333333,"SF, California"
78750.0,"Greene, Iowa, USA"
78666.6666666667,"Saratoga Springs, NY, USA"
78640.0,"Waterloo, ON, Canada"
78561.1666666667,"Charlottesville, VA USA"
78514.2857142857,Chicago Suburbs
78500.0,"Sahuarita, AZ / US"
78482.75,"Billings, MT USA"
78470.0,Lithuania
78400.0,"Rockaway, NJ, USA"
78333.3333333333,"West Orange, NJ, USA"
78081.8701694915,"Sydney, NSW, Australia"
78000.0,Yonkers/ NY/ USA
78000.0,Traveling
78000.0,St paul
78000.0,"Omaha, Nebtraks, USA"
78000.0,Oak Brook/IL/USA
78000.0,North Dakota
78000.0,"Mentor, Ohio, USA"
78000.0,"Hollis, NH, USA"
78000.0,"Cherry Hill, NJ, USA"
78000.0,"Aurora, CO, US"
78000.0,Altoona/PA/USA
77900.824,Netherlands
77865.0,Vermont
77857.1428571429,"Concord, NH USA"
77500.0,"Jupiter, FL, USA"
77379.0,Mt View Ca USa
77316.5,"Malibu, CA USA"
77260.0,"Bar Harbor, Maine, USA"
77250.0,"Philadelphia suburbs, PA, USA"
77230.0,"St. Augustine, FL"
77131.3636363636,"Spokane, WA, USA"
77120.0,"Waterford, MI, USA"
77000.0,"Southwestern Ohio, USA"
77000.0,"North Liberty, Iowa"
77000.0,Latin America (expat)
76875.0,"Alabama, USA"
76800.0,"Bossier City, LA"
76700.0,"Nuremberg, Germany"
76700.0,Espoo/Finland
76650.0,"Newport, RI, United States"
76625.0,"AZ,USA"
76500.0,Carmel/Indiana/United States
76250.0,"Vista, CA USA"
76060.1538461538,"Buffalo, NY, USA"
76024.8076923077,"Louisville, KY"
76000.0,"metro Phoenix, AZ"
76000.0,"West BendWI, USA"
76000.0,"Sanford, Florida, USA"
76000.0,Ponte Vedra Beach/Florida/USA
76000.0,"Pasadena, CA, United States"
76000.0,"Near Boston, Massachusetts"
76000.0,Mineola/NY/USA
76000.0,Dearborn
76000.0,Cananda
76000.0,"Bay Springs, MS, USA"
75950.0,Stratford Ontario Canada
75916.6666666667,"Lansdale, PA USA"
75809.5238095238,"Asheville, NC, USA"
75700.0,"Twin Falls, ID"
75609.9473684211,"Des Moines, IA"
75594.7375,Belgium
75500.0,"Waukesha, WI"
75500.0,"Dhaka, Bangladesh"
